,ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,TADA_BF,krishnan_post,D,D_ens,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000394954,ENSP00000394954,146395,GSG1L,1.119e-05,FALSE,NA,0.541032304996425,0.484169957933213,0.447,0.18231083081513,0.274836130987458,0.926235025545866,0.911827167930332,0.929255653,0.932352541678459,0,1,0
ENSP00000409197,ENSP00000409197,6358,CCL14,4.13e-06,FALSE,NA,0.000121911835168333,2.46937373828091,0.406,NA,NA,0.68124642109354,0.676752826213719,0.690283704,0.893715759293573,0,1,0
ENSP00000416168,ENSP00000416168,9881,TRANK1,9.5e-05,FALSE,NA,2.79379160018064e-10,0.213798777136673,0.447,0.0765577965955466,0.405335103757917,0.949473669234527,0.947213883583609,0.948159306,0.945759502263986,0,1,0
ENSP00000417580,ENSP00000417580,285148,IAH1,1.058e-05,FALSE,NA,0.000119134559107643,0.63741288442233,0.446,0.00601382886055551,-0.473827768543702,0.908267617362682,0.906638349667292,0.900545556,0.918465983893162,0,1,0
ENSP00000432163,ENSP00000432163,143879,KBTBD3,1.961e-05,FALSE,NA,2.5976137143971e-05,0.219941674472474,0.447,0.00242196377425018,-0.770204178514822,0.946929539980802,0.944787632677331,0.948021962,0.937364753163202,0,0.73796146,83.74776132
ENSP00000209718,ENSP00000209718,25984,KRT23,1.862e-05,FALSE,NA,2.8268268115206e-08,1.0605981652604,0.41,0.0286384614014,0.0980970609493389,0.851798734239598,0.850243703593627,0.855045239,0.929461044814489,0,1,0
ENSP00000211076,ENSP00000211076,23430,TPSD1,1.527e-05,FALSE,NA,8.52216628919943e-09,1.33260842025744,0.447,NA,NA,0.818065863452833,0.817396608561376,0.827073325,0.925645468009432,0,1,1.789098241
ENSP00000219244,ENSP00000219244,6361,CCL17,3.89e-06,FALSE,NA,0.0771247220885551,1.07856725429744,0.49,0.00936251174202808,-0.409918523128951,0.835298759725967,0.833088991821068,0.853236423,0.893027116462488,0,1,0
ENSP00000221992,ENSP00000221992,1048,CEACAM5,2.927e-05,FALSE,NA,3.66899588817934e-05,0.597091635173163,0.332,NA,NA,0.928981816149358,0.927211898303849,0.907099635,0.943827002012923,0,1,0
ENSP00000223208,ENSP00000223208,95681,CEP41,1.442e-05,TRUE,3,0.000125629303655449,0.69759838329519,0.492,0.0105052019716296,-0.2121919257061,0.899740315869241,0.894505682986845,0.889850372,0.854708541952367,0,1,0
ENSP00000251473,ENSP00000251473,64748,LPPR2,2.422e-05,FALSE,NA,NA,0.418198720889995,0.571,NA,NA,0.932138767851584,0.93053265776703,0.939189484,0.932343552076104,0,0.687391459,15.51683049
ENSP00000257626,ENSP00000257626,54103,GSAP,NA,FALSE,NA,3.59525944818388e-16,NA,0.427,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000259006,ENSP00000259006,80774,LIMD2,7.68e-06,FALSE,NA,0.0176301694774636,0.666558354346399,0.448,0.0623345364036555,0.229260972999272,0.895919925423084,0.894549377597068,0.895215545,0.862106555276815,0,1,0
ENSP00000262817,ENSP00000262817,25789,TMEM59L,1.417e-05,FALSE,NA,0.0151007864967939,0.468173454152675,0.571,0.050318899260094,0.172047170156205,0.919419530238815,0.918081846564362,0.932637315,0.945140648314681,0,1,0
ENSP00000263177,ENSP00000263177,163404,LPPR5,1.521e-05,FALSE,NA,0.959898117418367,0.457920529554794,0.498,0.418485671350768,0.328049316297282,0.924786743612825,0.91961106962969,0.93442065,0.922222988675024,0,1,0
ENSP00000264228,ENSP00000264228,79644,SRD5A3,1.457e-05,FALSE,NA,0.0407270356125485,4.37533058672463,0.442,0.00503159764783051,-0.610340089600546,0.60013652084232,0.587193232368706,0.577833052,0.921424082430795,0,0.767177855,30.72401838
ENSP00000269389,ENSP00000269389,6398,SECTM1,1.282e-05,FALSE,NA,0.172404202643393,1.34710630814999,0.41,0.0231963919125075,-0.108120218418999,0.531852991046241,0.518330215408479,0.824112368,0.624703618164648,0,1,0
ENSP00000272972,ENSP00000272972,51281,ANKMY1,4.9e-05,FALSE,NA,7.81266990643975e-14,0.201671460207635,0.447,NA,NA,0.948578567240786,0.946399992362381,0.948459164,0.775692123030428,0,1,0
ENSP00000289953,ENSP00000289953,90199,WFDC8,8.97e-06,FALSE,NA,4.97250859518292e-06,0.568257948771137,0.492,NA,NA,0.920987564251252,0.918804249214578,0.911058228,0.908499118748263,0,1,0
ENSP00000289957,ENSP00000289957,1142,CHRNB3,1.977e-05,TRUE,,0.000131863319539552,0.671347018014504,0.568,0.0145234056221164,-0.215747029737718,0.914161708539254,0.910495284497929,0.894321015,0.94513128719173,0,0.716793239,16.402130874426
ENSP00000293845,ENSP00000293845,146849,CCDC42,1.668e-05,FALSE,NA,1.68964027106202e-05,0.5191170158036,0.453,NA,NA,0.930789137466841,0.929190502691327,0.919599376,0.927394054388646,0,1,0
ENSP00000294360,ENSP00000294360,54987,C1orf123,7.04e-06,FALSE,NA,1.26488229435833e-07,1.20882397544656,0.334,0.0237413398581061,0.040691450445099,0.822951846416555,0.821388538195917,0.841555954,0.825929374273813,0,1,0
ENSP00000295124,ENSP00000295124,165055,CCDC138,2.267e-05,FALSE,NA,1.08334074018145e-05,0.197382285196484,0.412,0.0197005813619906,0.0616976904423335,0.947919862581068,0.945594297861311,0.948547012,0.940431033211295,0,1,3.25001234218819
ENSP00000299272,ENSP00000299272,121599,SPIC,8.86e-06,FALSE,NA,0.118412347531258,0.498690089617839,0.491,0.0304382179129422,-0.000492027066897993,0.905105330506587,0.904076300325243,0.925552075,0.908213880838371,0,1,2.54513402573083
ENSP00000308032,ENSP00000308032,29785,CYP2S1,2.352e-05,FALSE,NA,0.000914984181302337,0.858732957188339,0.437,0.0526164896388258,0.195785454460864,0.873229700323541,0.87176950404559,0.876365432,0.940656183486961,0,1,0
ENSP00000314223,ENSP00000314223,54112,GPR88,1.923e-05,FALSE,NA,0.754055177236605,0.437482020701525,0.57,0.570437685733406,0.400667826170503,0.926555818642517,0.925621035247155,0.937295275,1,0,1,0
ENSP00000319141,ENSP00000319141,79901,CYBRD1,1.265e-05,FALSE,NA,0.351788246409073,0.622213913204746,0.329,0.0182865242186521,-0.438890145219442,0.914817377551588,0.912909084701382,0.903572877,0.944072471686254,0,0.833725315,11.06627633
ENSP00000320217,ENSP00000320217,65012,SLC26A10,2.459e-05,FALSE,NA,1.16500286588742e-09,0.16352262368552,0.553,0.0186723218768709,-0.059568440293496,0.948561401773446,0.94645300622384,0.9492458,0.932653038770403,0,1,18.8547107604307
ENSP00000320416,ENSP00000320416,155382,VPS37D,8.23e-06,FALSE,NA,0.656347210550458,0.501322461404425,0.447,0.0726441354399287,-0.141090610775984,0.903367941783106,0.902377078264392,0.92481148,0.906518376842967,0,1,0
ENSP00000320965,ENSP00000320965,8703,B4GALT3,1.91e-05,FALSE,NA,0.0208228744149612,1.25220276739337,0.446,0.0502360447260804,0.117245549869702,0.831787762514607,0.829609469768378,0.836827815,0.927491723208221,0,1,6.02038246250693
ENSP00000322617,ENSP00000322617,170572,HTR3C,1.79e-05,TRUE,4,2.33900863158536e-08,0.444525181910313,0.49,NA,NA,0.936668620507847,0.935092838280114,0.936380248,0.917094945940094,0,1,0
ENSP00000327611,ENSP00000327611,56660,KCNK12,1.408e-05,FALSE,NA,0.671633264361772,0.46385098868322,0.498,0.159943761905275,-0.301772989446037,0.919938786078481,0.917885200671867,0.933360841,1,0,1,0
ENSP00000328923,ENSP00000328923,256949,KANK3,2.27e-05,FALSE,NA,8.53381795135144e-06,0.212025364093884,0.406,0.090558896010747,0.177669955936925,0.947244780301682,0.945196127531672,0.948207367,0.931085201208466,0,1,6.874425089
ENSP00000332500,ENSP00000332500,283694,OR4N4,1.125e-05,FALSE,NA,0.0180506007874978,0.631485684668304,0.451,NA,NA,0.910123224088629,0.909188532963003,0.901837364,0.914675796703389,0,1,0
ENSP00000332528,ENSP00000332528,92736,OTOP2,3.25e-05,FALSE,NA,3.08382306848341e-09,0.232610725836373,0.448,0.0155904933813193,-0.141039147802698,0.947136473484695,0.945110436247938,0.947651773,0.937260398486249,0,1,2.08249072
ENSP00000337561,ENSP00000337561,29015,SLC43A3,2.099e-05,FALSE,NA,0.000317449115823233,0.333972212353192,0.335,0.013425815470472,-0.154055682487303,0.942833143192563,0.940879515699575,0.944224331,0.937887993274667,0,1,1.22199270283178
