ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,forecASD,STRING_score,BrainSpan_score,STRING+BrainSpan_RF,krishnan_post,D_ens,D,TADA_BF,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000273375,285282,RABL3,0.00000907,FALSE,NA,0.136652215,0.006,0.160,0.357,0.351,0.414,0.010903278,-0.364553758,1.013273286,0.851716801,0.846194052,0.860539463,0.930554896,0,1,0
ENSP00000274278,133688,UGT3A1,0.0000068,FALSE,NA,5.21347E-10,0.006,0.160,0.061,0.028,0.483,NA,NA,0.767773026,0.872103977,0.869893013,0.883189848,0.928250327,0,1,0
ENSP00000294413,6006,RHCE,0.00001868,FALSE,NA,0.861454126,0.006,0.160,0.138,0.033,0.489,NA,NA,0.445444462,0.928671943,0.92487558,0.936274044,0.92696815,0,1,0
ENSP00000345868,127534,GJB4,0.00001645,FALSE,NA,1.96485E-06,0.006,0.160,0.131,0.003,0.49,0.011035394,-0.20693839,0.598328651,0.920491762,0.919661404,0.906972127,0.943159084,0,1,0
ENSP00000356444,389432,SAMD5,0.00001085,FALSE,NA,0.000898004,0.006,0.160,0.225,0.059,0.493,0.03975773,0.022595334,0.99326094,0.854881488,0.850586982,0.863180674,0.913691822,0,1,0
ENSP00000207457,27285,TEKT2,0.0000217,FALSE,NA,4.73097E-09,0.006,0.158,0.354,0.434,0.45,0.008763927,-0.279219098,0.75222951,0.893731525,0.893294938,0.884441474,0.943073595,0,1,0
ENSP00000265379,256076,COL6A5,NA,FALSE,NA,9.56359E-12,0.006,0.158,0.043,0.002,0.491,0.014241949,0.000711436,NA,NA,NA,NA,NA,0,1,0
ENSP00000329926,255022,CALHM1,0.0000237,FALSE,NA,9.35702E-05,0.006,0.158,0.065,0.008,0.462,NA,NA,0.636417103,0.920523657,0.919302094,0.900900862,0.87384497,0,1,0
ENSP00000372105,378950,RBMY1E,NA,FALSE,NA,NA,0.006,0.158,0.006,0.002,0.489,NA,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000376945,84261,FBXW9,0.00002833,FALSE,NA,1.99619E-09,0.006,0.158,0.214,0.049,0.414,0.025964537,-0.161590832,0.405739879,0.94064721,0.938815021,0.940274011,0.935182651,0,1,0
ENSP00000331734,53820,RIPPLY3,NA,FALSE,NA,2.12281E-06,0.006,0.156,0.234,0.045,0.489,NA,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000338288,122651,RNASE11,0.00000707,FALSE,NA,0.000992587,0.006,0.156,0.001,0.001,0.489,NA,NA,0.503293136,0.927550592,0.926625481,0.924231487,0.826207318,0,1,0
ENSP00000350409,25972,UNC50,0.00000973,FALSE,NA,0.011618307,0.006,0.156,0.151,0.001,0.411,0.00875841,-0.449436865,0.302652279,0.942896162,0.940964261,0.945428972,0.910578445,0,1,0
ENSP00000358430,6975,TECTB,0.00001431,FALSE,NA,5.94967E-09,0.006,0.156,0.075,0.003,0.488,0.00862925,-0.238065401,1.112831048,0.842003182,0.839799152,0.850216474,0.854415856,0,1,0
ENSP00000359310,158511,CSAG1,0.000003086,FALSE,NA,0.000227012,0.006,0.156,0.134,0.006,0.443,NA,NA,0.410204918,0.935548644,0.933909872,0.939876061,0.931537736,0,1,0
ENSP00000417580,285148,IAH1,0.00001058,FALSE,NA,0.000119135,0.006,0.156,0.284,0.022,0.446,0.006013829,-0.473827769,0.637412884,0.908267617,0.90663835,0.900545556,0.918465984,0,1,0
ENSP00000308032,29785,CYP2S1,0.00002352,FALSE,NA,0.000914984,0.006,0.154,0.069,0.003,0.437,0.05261649,0.195785454,0.858732957,0.8732297,0.871769504,0.876365432,0.940656183,0,1,0
ENSP00000337561,29015,SLC43A3,0.00002099,FALSE,NA,0.000317449,0.006,0.154,0.217,0.104,0.335,0.013425815,-0.154055682,0.333972212,0.942833143,0.940879516,0.944224331,0.937887993,0,1,1.221992703
ENSP00000339292,23562,CLDN14,0.00001444,FALSE,NA,0.000330687,0.006,0.154,0.071,0.003,0.476,0.018357653,-0.145981359,0.466189928,0.92221198,0.918481806,0.932991897,0.921216346,0,1,5.976585857
ENSP00000361007,142910,LIPJ,0.00001134,FALSE,NA,2.64341E-07,0.006,0.154,0.318,0.104,0.487,NA,NA,0.373224848,0.939770993,0.937795974,0.942453007,0.932466069,0,1,0
ENSP00000366317,399726,CASC10,NA,FALSE,NA,0.020054862,0.006,0.154,0.044,0.002,0.481,NA,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000243286,85012,TCEAL3,0.00000923,FALSE,NA,0.60333907,0.006,0.152,0.267,0.010,0.49,NA,NA,0.495977243,0.906356407,0.905406235,0.926275318,0.90918329,0,1,0
ENSP00000257974,3888,KRT82,0.0000268,FALSE,NA,2.61198E-16,0.006,0.152,0.028,0.001,0.448,0.012636058,-0.098045717,0.371249521,0.941888603,0.940074027,0.942549063,0.929556662,0,1,0
ENSP00000281382,5281,PIGF,0.00000535,FALSE,NA,0.00090904,0.006,0.152,0.128,0.002,0.256,0.004748829,-0.497465687,0.67545574,0.892981153,0.887316276,0.893479189,0.81808379,0,1,0
ENSP00000329860,374355,CCDC172,NA,FALSE,NA,0.008329616,0.006,0.152,0.116,0.001,0.493,0.012168758,-0.13853297,NA,NA,NA,NA,NA,0,1,0
ENSP00000371272,440503,PLIN5,0.00002129,FALSE,NA,1.32368E-07,0.006,0.152,0.189,0.003,0.422,0.052774741,0.259483039,0.666177642,0.914246905,0.913065913,0.895333216,0.882189285,0,1,0
ENSP00000298861,79841,AGBL2,0.00002908,FALSE,NA,6.81051E-12,0.006,0.150,0.032,0.001,0.482,NA,NA,0.183500474,0.948382556,0.94620342,0.948825078,0.939372365,0,1,0
ENSP00000299290,219793,TBATA,NA,FALSE,NA,1.68599E-07,0.006,0.150,0.060,0.031,0.447,0.026637635,0.097684984,NA,NA,NA,NA,NA,0,1,0
ENSP00000364697,8858,PROZ,0.00001864,FALSE,NA,3.84164E-09,0.006,0.150,0.260,0.006,0.492,0.010245933,-0.27170229,1.234464876,0.833222586,0.831194324,0.838881232,0.865036891,0,1,5.899043829
ENSP00000314299,3078,CFHR1,0.00001229,FALSE,NA,0.000909322,0.006,0.148,0.066,0.005,0.413,0.04090837,0.072345509,0.623661876,0.914331855,0.912093185,0.903338205,0.917236829,0,1,0
ENSP00000360166,100130613,CXorf64,0.000012,FALSE,NA,NA,0.006,0.148,0.084,0.008,0.479,0.011241088,-0.260119108,1.344710324,0.810456193,0.809097432,0.825030355,1,0,1,0
ENSP00000381468,153218,SPINK13,0.000003277,FALSE,NA,0.024356953,0.006,0.148,0.065,0.007,0.491,NA,NA,0.370657339,0.938405908,0.936521411,0.942581032,0.8912128,0,1,0
ENSP00000410910,389125,MUSTN1,0.00000449,FALSE,NA,0.001752188,0.006,0.148,0.177,0.001,0.454,0.003442389,-0.580882321,0.682886113,0.883659801,0.882502233,0.891995377,0.895065088,0,1,0
ENSP00000297532,10922,FASTK,0.00002525,FALSE,NA,0.030531352,0.006,0.146,0.129,0.002,0.427,0.031520733,-0.159383014,0.409185118,0.940084852,0.938269616,0.939990376,0.933172558,0,1,0
ENSP00000307340,6698,SPRR1A,0.000002834,FALSE,NA,0.175108854,0.006,0.146,0.004,0.001,0.367,0.006447287,-0.410020533,0.695214936,0.877347926,0.875866653,0.890199933,0.889989206,0,1,10.8869393
ENSP00000348496,140732,SUN5,0.00001651,FALSE,NA,6.52857E-11,0.006,0.146,0.035,0.001,0.451,0.013954594,-0.181620661,0.403068199,0.938893574,0.937056207,0.940479362,0.943170045,0,1,0
ENSP00000355623,84886,C1orf198,0.00001558,FALSE,NA,0.027375276,0.006,0.146,0.369,0.199,0.447,0.033608038,-0.062409746,0.69624188,0.900784436,0.89873359,0.889971712,0.922805784,0,1,0
ENSP00000383226,386677,KRTAP10-1,0.00001466,FALSE,NA,0.106027011,0.006,0.146,0.084,0.008,0.447,NA,NA,0.461732036,0.934715165,0.933239481,0.933743214,0.855512269,0,1,1.034849104
ENSP00000417656,1349,COX7B,0.000003392,FALSE,NA,0.656619052,0.006,0.146,0.143,0.002,0.448,0.00714245,-0.517842896,0.524263718,0.883982575,0.882189157,0.91806667,1,0,1,0
ENSP00000304355,90693,CCDC126,0.00000522,FALSE,NA,0.351142327,0.006,0.144,0.355,0.340,0.447,0.025176097,-0.223900527,0.51932724,0.89765371,0.890773404,0.919501385,0.897388262,0,1,4.855603152
ENSP00000382777,337959,KRTAP13-2,0.00000709,FALSE,NA,0.000843088,0.006,0.144,0.009,0.000,0.447,0.016004635,-0.047074142,1.436976381,0.792230385,0.789589681,0.807996609,0.903029508,0,1,0
ENSP00000420174,405754,ERVFRD-1,0.00001034,FALSE,NA,0.002428346,0.006,0.144,0.141,0.008,0.483,NA,NA,0.637551373,0.906657847,0.906032093,0.900514924,0.931633936,0,1,0
ENSP00000317175,400224,PLEKHD1,NA,FALSE,NA,NA,0.006,0.142,0.091,0.000,0.439,0.005735533,-0.494374585,NA,NA,NA,NA,NA,0,1,0
ENSP00000332404,388364,TMIGD1,0.00000966,FALSE,NA,0.104144558,0.006,0.142,0.046,0.003,0.447,0.005063435,-0.487987286,0.744221007,0.877701558,0.874412464,0.885293334,0.893469435,0,0.772551338,22.22862283
